Indonesian,Javanese
"Ia punya kebiasaan sarapan di pagi hari sebelum berangkat kerja, dan itu membuatnya merasa energik sepanjang hari.","Ia seneng ngobrol karo wong liyane setiap dino minggu, lan iku ngrasakke dhasar energi samenggon dina sadina hari."
"Syukur Alhamdulillah karena kita semua dapat membagi kebahagiaan satu sama lain, untuk mendukung dan menghargai kehidupan kita bersama.","Seneng tekaning urip kita bersama, Senajan kita sadaya ing mratuwani kebahagiaan tinimbangngi mbedakake."
"Dia menghabiskan hari-harinya dengan bercengkerama bersama temannya di rumah, menonton film favoritnya, dan makan makanan terbaiknya.","Dia ngorogongi dina-dina oktèn jenenge sedulur-sedulur ing omah, manonton filem kesukaan, lan milu resep kang paling apik."
"Di bawah langit yang sama, kita berjanji untuk hidup bersama dan berpartisipasi dalam pembangunan bersama untuk membangun masa depan yang lebih baik.","Ing ngarep sasi iku, kita pangakon kanggo nglindhung irah-irahan silih dudu ngupaya sareng nginteraksi-kene kanggo ngwasani pembangunan kanggo ngwasani masa depan sing luwih becik."
"Dia tidak berpikir dia akan berteriak begitu banyak dan begitu keras, jadi ketika suaranya mulai memuncak di awal malam, itu mengejutkan setiap orang.","Ora tansah diarepkek pengen nuduh-nuduh kuwi sakbréné, dadi manèhé lagi gelem lara nggoné makurung, pralampahan iki ngageti kabèh wong."
"Untuk membangun kemajuan bersama, kita perlu membangun kolaborasi yang kuat antara pemerintah, swasta, organisasi, dan masyarakat.","Kanggo ngowahi munggah mami, kita perlu nggawe kolaborasi kuwat antarane pemerintahan, swasta, organisasi lan masyarakat."
"Dia menari di tengah lapangan, seolah-olah ia di ruang tak berbatas yang penuh kebahagiaan.","Ia ngrejeg neng afcat lapangan, layiah sida neng ruang sing ora takon batas karo kasiyatan."
"Hari ini, aku bangun pagi-pagi, mandi, sarapan, dan pergi kerja dengan semangat.","Saiki aku pada bangun lageng, mandhengake, nyempol, lan metu kerjo kalawan embel-embel."
"Dia memiliki senyuman manis dan mata yang bersinar, dan dia memiliki semangat yang luar biasa untuk melangkah maju.","Dumadaké seneng lan tindaké kang gendhul, lan dumadaké semangat sing bedhah kanggo gelem mentas."
Aku senang berbicara bahasa Jawa karena itu membuatku merasa lebih erat dengan budaya dan sejarah Indonesia.,"Kulo seneng daktok Jawi, awit bisa nggawe aku saged ngerti langkah-langkah prejanané Ingkang dados lan sajarah Indonesia."
Sangatlah penting bagi kita bersama untuk menghormati dan menghargai budaya kita masing-masing.,Paraning éster iku wekat bagus kanggo samu-sama duwe pengertèn lan pengarepé budayane kita.
"Ia terus berjalan dengan tenang melalui hutan, mendengarkan suara-suara alami dari tumbuhan yang berwarna-warni di sekitarnya.","Iku tetep lendhar nemokake sawetara suara natural, sing ana ing wening wuryo-wuryoan saka taman ing ngrugep."
Kami berjuang keras untuk mencapai kesuksesan dengan menyiapkan berbagai rencana strategis dan bekerja keras setiap hari.,Kita ngelakoni karya keras kanggo njupuk kasilah kanthi mrapi penjelasan rencana strategis sarta nguloni karya digawe setiap dina.
"Setelah berjam-jam berada di mal, Kami merasa sangat letih dan pergi ke rumah untuk beristirahat.","Sawise ngrampung ndhah mal, kita mlayu lara saktonge lan mburi menyang omah kanggo istirahat."
"""Sebuah kegiatan yang memiliki tujuan yang baik akan menghasilkan hasil yang terbaik, jadi usahakan untuk melakukan hal yang terbaik dari segala yang kamu lakukan!""","""Patemon anggone gawe sasaran sing mbener kanggo ndhaputaker usepan sing apik, kersa madakke kayun salah satune sing apik saka kabeh sing panjenengan nglakoni!"""
Hal yang terpenting adalah untuk tetap berada di jalur yang benar dan berusaha untuk berkembang secara efektif.,Apa sing penting yaiku tetep ana ing layang sing bener lan ngupaya masangan dening maningkat effektif.
"Ia menjelajahi hutan sepanjang hari dengan berjalan kaki, sambil mata hamper lupa memerhatikan setiap tumbuhan dan binatang yang ada.","Ia nurusakake gunung karo njalari pa-kaki, sampeyan ndeleng maneh bbanyu nalika sawijining tumbuhe lan binatang sing ana."
"Kami berjalan menuju ke sana dengan ketenangan dan kasih sayang, dan kami berharap akan mencapai tujuan kami.","Kita ngono marang kana kanthi lan lebur siji lan rembug cinta, lan kita ngarep bakal kasil titik teken kita."
"Ketika hujan turun, saya selalu diam di rumah, membaca buku dan menonton televisi sambil menikmati kopi panas.","Nalika udan mriki, aku ala ndiam-ndiam nang omah, maca buku lan nunggon televisi sambil rembur-remburan kopi panas."
"Ia memulai dengan bersungguh-sungguh untuk menyelesaikan tugasnya, tetapi ia akhirnya tersadar bahwa usaha keras tidak selamanya dapat mengubah hasil yang ada.","Ia lagi miwiti babarepao babakti-babakti ngarumpakake tugas panjenengane, nanging kulo tetep banjur ngrasakake yene usaha-usaha keras ora bisa ngganti hasilne sing wis dadi."
"Dia gembira kembali ke rumahnya setelah selesai belajar, tapi dia juga tersenyum lebar di saat berpamitan dengan teman-temannya.","Saben siklusé dheweke bahagia nutupi ati ing wengi wis suwé, nanging dheweke uga tansah seneng kanggo nggawe salam karo para sahabat-sahabaté."
"Dia adalah seorang yang rajin dan bersemangat untuk berprestasi, memiliki hasrat untuk mendapatkan lebih banyak pengetahuan, dan selalu terbuka untuk mengejar kesempatan.","Dheweke iku siji kang jaga demen jeung kahaweruh nyambut prestasi, duwé rédis nyimpen ilmu sisan, sarta paling ngaliwatan somo pelu menangi kesempatan."
"Dia seperti tukang becak yang bertindak sebagai pemandu wisatawan di kota ini, mengajak mereka untuk menikmati keindahan alam dan budayanya.","Dia kaya wong becak kang nindakake minangka pandhu turis ing kutha iki, nyedhiyakake para pengunjung kanggo ndherek kenangan saka alam lan budayane."
Dia berjalan berlari setiap pagi untuk membangun jadwal harian yang berguna baginya.,Mèh kliwon lompat-lompatan setiap dina kanggo nggawe jadwal dina sing nggunakake maneh.
"Dia selalu merasa senang saat berada di taman bersama keluarganya, dan senang untuk menghabiskan waktu bersama keluarga dan teman-temannya.","Dia seneng banget kanggo nyetel ing swargi kalongan kuwi, luwih seneng liya nyetel wektu sama kula sarta para temen-temen."
"Pagi ini saya memulai hari dengan menggelar matahari yang menyegarkan, suara burung-burung yang menyanyi, dan kabut nan halus yang meliputi.","Siang iki mrik noleh sawetara surya sing nyeleresi, gembung rusa gegembreng nyanyi, serta kabus lungset kang nyelimuti."
"Dia bekerja keras untuk meraih sukses, namun tidak terlalu fokus pada hasil akhirnya.","Panjenengan lagi nglakoni kerjo gedhe kanggo nulung suksès, nanging ora teges nguber tekan asil pinung akhir."
"Dia begitu banyak menghabiskan waktu di sekolah, sampai dia harus berjuang untuk bisa menjaga nilai akademik tetap tinggi.","Panjenengané luwih akeh nglelalekaké waktu ing sekolah, sampe panjenengané nggolek nawakake supaya terus ndhukung nilai akadèmik."
"Dia berbicara dengan antusias tentang kemungkinan kesempatan baru yang dihadapinya, dan ia juga berusaha keras untuk mencapai tujuannya.","Ana ngandika kang maos kanthi obsesi bab pungkasan kesempatan anyar sing ditampa, lan uga mburi nerusi nekapikno pituwane."
"Dia menderita di luar sana dan tak kunjung bisa sembuh, tapi ia tetap berusaha dan bersabar agar masalahnya bisa terselesaikan.","Ramane ngalami nesek ranten, ora membahagi tur ora bisa kasambung mangan, nanging ia mugi kesengsaraan utuh kasil sembuh sepisan."
"Pohon beringin bergerak di bayangan sinar mentari, tetapi tak ada bulu ayam yang terbang di antara daun-daun hijau.","Kepinding catur gerak ing tansah sregep cahya matahari, nanging ora ana mburi ayam sing lunga saka wadon-wadon hijo."
"Selama masa pandemi, banyak kegiatan harian telah diubah drastis, namun kita harus tetap bersikap waspada, cerdik, dan optimis.","Nalika pandèmi nèk, aktifitas dina sasi kabèh diganti metu, tapi kita kudu tetep sahabat awas, wèdok lan optimis."
"Ia tumbuh dengan cepat karena ia selalu berusaha keras dan rajin, dan ia menjadi salah satu yang paling sukses di antara teman-teman yang cocok.","Ia tumbuh karo cepet karena weruh keras lan kaweruhan, lan dadi salah sawijining sing paling suksès saka kanca-kancaning cocog."
"Dia berlari dengan cepat sepanjang ruas jalan, namun dia tidak berani menyentuh ruang penuh dengan ketidakpastian.","Dheweke lari ngaliwatan pasti sesawangan jalan, nanging dheweke aja ora sandhang gedhe kang isih nganti teges awak kang ora bener-bener pasti."
"Dia sangat membutuhkan pekerjaan untuk membantu menopang keluarganya, jadi ia berusaha keras untuk mencari pekerjaan yang layak.",Dhia kepengin ambo-ambo kanggo ndowo-ndowo ngaretake keluargan nanging ninggal klawan ngetokake sawijining kerja sing bener.
"Aku mencintai menulis dan membaca, sedangkan aku juga menyukai musik serta menonton film.","Aku suka manulis lan maca, nanging uga gedhe suka marang musik lan ndeleng film."
"Saya bangga memiliki budaya yang kaya dengan berbagai macam kebudayaan dan tradisi, memberi warna tersendiri di tengah-tengah kebersamasan yang kami miliki.","Aku soko mbangun kebudayaan kang kaparing macem-macem tradisi lan waékti, sing ndarèkaké widyaning amarah ing tengon-tengonsu samubarang kang kula milih."
Semua orang harus bekerja keras untuk mewujudkan impiannya karena hanya dengan usaha yang keras kita bisa meraih kesuksesan.,Kabeh wong mesthi tansah kerjo keras kanggo medhengingi panggayuhan ingkang dipun harbekti kandah amarga mung nganti kanthi kerjo keras kita bisa narik utama sukses.
"Sebagai hasil dari upaya kita bersama-sama, kita akhirnya berhasil menghasilkan sebuah produk yang unggul dan berkualitas.","Kabeh bogem patuik kita sing jumuk manggon, akhirane kita padha gawe produk kang apik lan kualitas."
"Aku senang bisa bertemu denganmu, karena kita bisa mengobrol dan mengenal satu sama lain dengan lebih baik.","Aku iki seneng bisa ngemu karo kowe, amarga bisa cha-cha lan ketahuan akeh liya-liya kaliyan drinkin sejen."
"Setelah beristirahat selama satu bulan, itu adalah saatnya bagi saya untuk kembali ke lingkungan sekolah agar dapat melanjutkan pelajaran.","Minggu sasi sami sudah prawating, maninggal kejebagan bisa balinan desem sakola kanggo mbenerake pagawean."
"Kita harus mencoba yang terbaik untuk melawan musuh yang kuat, namun kita juga harus mengingat untuk tetap menghormati orang lain meskipun kita berbeda pendapat.","Kita kudu nyoba mbukak jalan sing paling apik kanggo ngalawan musuh sing gedhe, nanging ing wustha kita uga perlu ngundhuh kanggo tetep hormati wong liyane senajan kita duwé pikiran sing beda."
"Ia berlari cepat di sawahnya hingga ia sampai di luar hutan, tetapi ia bingung apa yang harus dia lakukan.","Ia lari cepet ing sawahé, sinambi sampé ing ngluwarih rétor, ora ana weruh apa sing dibutuhake."
"Dia memiliki kemampuan menghubungkan orang dan mengharmoniskan hubungan mereka bersama, dan dengan itu mendorong dan meningkatkan melalui diskusi yang produktif dan berdaya saing.",Nya nduweni kemampuan nyambungaken wong lan nyungu sareng-sareng (harmonisasi) lan dadi alesan kaperlu nggawe golek saka diskusi produktif lan kompetitif.
"Ibu pergi ke pasar untuk membeli sayur-sayuran segar, tetapi ketika ia kembali, ia menyadari bahwa ia telah melupakan uang di rumah.","Ibu sampeke mangkono pasare kanggo tetepaken toge-togean sing anyar, nanging nalika wis tepas, weruh yen wis luput ngenteni dhuwit nang ambek."
"Saya benar-benar suka sekali berkebun dan belajar tentang cara menanam sayuran, karena memberikan sebuah pengalaman santai dan membuat saya merasa dekat dengan alam.","Aku srengenge banget ngekebon lan nimbali nge nyawang cara nulungan sayur-sayuran, mulane ngasilake kesenangan lan ngrayai aku medhom nyambut alam."
"Mereka berjalan dengan santai di sepanjang pinggiran sungai, menikmati pemandangan dan suasana yang indah.","Padha nglalarake deweke dening pinggiran bebungahening sungai, ngleksanake anahing pemandangan jeung suasana kang luhur."
"Dia tidak punya kemauan untuk melawan hujan yang melanda, tetapi dia tetap berusaha mencapai tujuannya walaupun hal itu terasa begitu berat.","Ora nduwe kemauan kanggo ngowahi lelembutané sing ageng, nanging banjur bisa nekat nggawe tujuané meskipun ora mudheng banget."
"Dia datang ke sini dengan harapan untuk membuat suatu perubahan, dan ia percaya bahwa semua impian akan menjadi kenyataan.","Dia ngetokno ning kono kanggo nggawe owah, lan iso ngomong yen sepihak pangarep-arep bakal bisa nekatke ing saiki."
"Aku merindukan saat terakhir kita bersama ketika kita pergi bercanda-canda ke pantai, dan kita bernyanyi bersama di langit yang biru;","Aku nginget akhir wae kita ninggal bareng maneh, yen sampeyan pada ngejalan-jalan na pantai, lan nyanyi bareng nalika dina langit keliruden."
"Siapapun yang ingin maju di dunia, perlu belajar dari yang terbaik dan bekerja keras untuk mencapai impiannya.","Remen kanggo ngrampungake tujuaningu, mesthi kudu nganggo sikil dan usaha keras cilik-cilik kanggo luwih dhuwur."
"Kami melakukan yang terbaik untuk mencapai tujuan kami, tetapi terkadang hal-hal yang kami lakukan tidak selalu menghasilkan hasil yang diinginkan.","Kita nindakake paling apik kanggo ndadeke tujuan kita, nanging tekade-tekade sing kita nindakake ora kepengin ngrebut hasil sing dipengharap."
"Sepanjang jalan, aku melihat taman yang indah dan berpikir bagaimana saya akan menjelajahinya.","Panjang ing jalan, aku gelem ngliwati taman kang indah andarane aku nggilungan apa aku bakal nglakoni piyambak noya."
"Dia mimpi bersinar sebagai bintang di langit malam, membuatnya merasa bahagia dan penuh harapan.","Ing dremené langit malam bakal kersa bintang, kapanke samemeh bahagia lan penuhi harapan."
"Dia datang ke rumah kami pada pada hari Minggu, dan dia senang mengobrol dengan keluarga kami sepanjang hari.","Dheweke mlebu nang rumah kita nalika dina Minggu, lan dheweke seneng ngobrolin karo keluarga kita sapanjang dina.."
"Binaraga dapat membantu meningkatkan kekuatan otot dan kesehatan, tetapi juga dapat bermanfaat untuk kesegaran mental dan spiritual.","Kegiatan binaraga bisa nambah strength nducar otot, njaluk kuwasa wong lan tongga sareng tuwa, iya uga kepriyé nambah tingkah laku mental lan spiritual."
Merawat hewan peliharaan dan menjalankan kegiatan olahraga secara teratur dapat meningkatkan kesehatan fisik dan mental.,Nyelemané hewan tartamtu lan manggon umume kegètan olahraga / keroncongan saka wulan wontenrawan bisa nambah kasusakten fisik lan mental.
Dia adalah bintang yang sedang berkembang dan semoga dia bisa melepaskan potensinya dengan baik.,Panjenengané kuwi bintang sing lagi milu asil lan mudun pada ngrelehake potensi mluwih becik.
"Kami harus bekerja keras untuk membuat hari-hari yang lebih baik, dan kami harus memanfaatkan setiap kesempatan yang kami miliki.","Kita kudu kerja keras kanggo nggawe dina-dina sing luwih becik, lan kita kudu nganggo saben kesempatan sing kita duwe."
"Sahabat-sahabat saya, ayo kita bersama-sama mendaki gunung yang tertinggi di dunia dan menikmati pemandangan yang indah!","Panggenan saiki, ayo padu lunga ngarasake gunung paling gedhe ing donya lan loba-loba sing manis!"
"Dia selalu berusaha keras dan berdedikasi untuk mencapai tujuan yang diinginkannya, baik untuk dirinya sendiri maupun untuk orang lain.","Déning garwaning dhani iku mikul kawruh lan nyadèki uga kanggo nyuwun sasarané kang dikarep, yaiku kanggo diri sendiri lan uga kanggo wong liyané."
"Melakukan perubahan bukanlah sesuatu yang mudah, tapi kita harus bersedia mengambil risiko dan terus bergerak maju.","Nggawé owah ora gampang, nanging kudu seko mireng risiko lan terus maju."
"Dia tidak memiliki apa-apa, namun dengan keberanian yang diperlihatkannya, dia bisa melakukan hal yang luar biasa.","Nggak nduwèni apa-apa, nanging kanthi kawekaé sing digawé, dia nduwèni gunane sing luwih luar biasa."
Dia cinta masakan Indonesia dan bersemangat untuk menikmati setiap rasa dan penampilan makanan lezat yang berasal dari berbagai budaya.,Dia kersa ngrembakake masakan Jawa lan bersorak kanggo nikmati gusti lan tingkatipan kudu-kudu angger-angger saka sawetara budaya.
"Dia duduk di bawah pohon, menyaksikan semua kebaikan dan keburukan yang ada di dunia.","Dia lagi nindak nganti dhewe durung dhekat babar pohon, mirsani kabeh luwih luwih srengenge lan bae kanggo Iki wae ing donya."
"Pagi hari itu, Matahari mulai terbit, aneka burung berkicau di pohon-pohon di sekitar danariend suara angin bertiup, serta suara embun menetes di atas rumput.","Nopo mbiyen saiki, pancene ndaeneng wengi paningkah, udanan burung pinarem saking banten ambek macem-macem, baen wengi sepo menantang udud waekas, sarta wengi embun swampah ngguntingd pohon ruwe."
"Dia makan telur panggang di pagi hari, lalu minum susu sebagai pengganti kopi.","Ingsung nggekere telur dados sommeng jam sainggu dhisik, lajeng ala minum susu minangka ganti wae-wae."
"Di sisi lain, hal ini juga membawa konsekuensi positif bagi kualitas kesadaran yang lebih tinggi di antara penduduk, tentunya dengan diiringi oleh tawaran akses yang lebih global.","Saindhengé, iki uga ngemot kawicaksanan positif kanggo tingkat pengertèn sing luwih dhuwur, pasti mbokap nganthèkaken aksès globals liya, iki pisan."
"Aku memiliki tujuan yang jelas dalam hidupku, yaitu untuk menghormati dan mencintai orang-orang di sekitarku.","Kula duwe tujuan ing uripku, yaitu nyembar-embar warta-wates lan ngluwihi wong-wong ing kono."
Pada hari Sabtu saya memasak daging sapi dengan sayuran dan saya juga membuat segelas air lemon untuk teman saya dan kami bersantai di taman bersama.,"Sonten Sabtèni, Aku nyedhèni dagin sèpi, kari ing sayur-sayuran, lan kula juga nyedhèni sepur wedang jeruk kanggo temenku, lan kita ngadeg santèra ing sawahé."
"""Kota yang megah itu malam yang dingin untuk berjalan dan memandangi  bangunan yang tinggi di sekitarnya, sementara warga kota ber(harap-harap) cemas karena mereka mempertimbangkan masa depan yang tidak pasti.""","""Ana ing kutha sing rupawan iku malem sing metu njaluk ninggal lan ndeleng gedhe-gedhe bangunan ing ngrepinya, sementara warga sing luwih lara mumetu menyang peryataan saka wibawa dheweke ning pikiran masa sing ora olih dadi."""
"Anak-anak menikmati menari bersama-sama, melompat dan berteriak dengan antusias.","Anak-anak sing pangguh kanthi njaluk ngetem, lompat lan ngarang sithik."
"Dia selalu bersungguh-sungguh bekerja, sehingga keinginannya untuk maju dan berkembang tercapai.","Ananging dia tetep sugih nggo ngerjani, kaya-kang marang kanggo ndak nganti wis dogdog lan ningkat anyar."
"Dia adalah mahasiswa yang berdedikasi, belajar dan bekerja keras untuk mencapai sukses.","Dheweke iku siswa sing pancen dedikeri, nggawe your dhahar lan ngendHERno akeh kanggo sumebar nganti suksès."
"Ia akan ke sana tanpa berpikir dua kali, mempersiapkan tubuhnya untuk menghadapi hal-hal yang tak terduga.","Kanca bakal raida, tanpa pundi-pundi diarep, nyiapake badané kanggo ngorbungi sing ora kedadean."
"Dia menyukai menghabiskan waktu bersama orang-orang yang dia cintai, namun Dia juga suka menghabiskan waktu sendirian.","Dia suka nggawe wektu mbareng wong-wong kang dia gedhe nerimo, nanging Dia uga suka nggawe wektu mung sendiri."
"Dia sedang berjalan di tepi jalan, mengendarai sepeda lamanya yang sudah kuning keemasan.","Panjenengan lagi nglereni nganti sisi jalur, masang sesedepa kang wis katon pinutih."
"Dia senang bekerja dengan pekerja lain untuk menyelesaikan setiap tugasnya secara efisien dan tepat waktu, dan dia juga senang berbagi ilmunya dengan orang lain.","Panjenengan seneng miwiti ngerja karo kanggo ngrampungake kabeh tugas kanthi efisien lan wisaksana, lan uga seneng ndelok ilmu karo wong-wong liyane."
"Dia berlari tercepatnya menuju kampung halamannya, dengan hati-hati ia menjaga agar tidak cepat lelah.","Dia weruh pisan menyang kampung sawijiné, padha kudu ngupayani akeh manèh entheng, supaya ora lali sacara agung."
"Aku suka bersepeda di sore hari ketika suasana tenang dan angin berhembus, tetapi aku juga menikmati waktu bersama keluarga di rumah.","Aku kelakon ngenteni sore ana ing wewidaran santen lan angin kasepatan, nanging aku uga resep kenang-kenangan karo para sedulur ing omah."
"Dia terus berjalan di jalan, menghirup parfum harum keharuman pagi yang membawanya menuju hari yang baru.","Panjenengan tetep nindakake jalur, ngambil aroma anggon susuhing penging iku weruh dina dino anyar."
"Dia berjalan di sepanjang jalan menuju ladang, sementara seekor burung menari di atas rambutnya.","Ugi nglangkungi jalur nglabangi sawah ing sisih, sawise trembang dudu gandhengi ana ing samubarang rambute."
"Pagi ini aku berjalan kaki ke sawah untuk menyaksikan cara adikku menebang padi, dan merasa begitu takjub dengan kemajuan teknologi yang membantu mereka mempercepat proses penanaman.","Kowe pagi bae nang saged nyambut ing sawah kanggo ndeleng cara adikmu ngetebang padi, lan padha para takjub karo pinunjul teknologi kanggo nglebokake proses tanam."
"Pengguna Sosial Media harus menjaga keamanan dan privasi diri mereka sendiri, agar tidak menjadi korban penipuan.","Panganggo Rékening Sosial Media kudu disiindhing, mbentenaké kamungkinan dok cedhaké, supaya ora banget ngandhani tipu-tipuan."
"Mangga yang segar dipetik dari pohon di kebun itu rasanya sangat lezat, tetapi ketika kamu berjalan lebih dekat ke pohonnya, kamu akan merasakan bau rempah-rempah yang menyegarkan.","Mangga sing seger diberene saka pohon ing kebun iki disebut luwih nikmat, nanging nalika sampeyan nir-ke pohon kanggo nihe, sampeyan bakal ngrasakake bau rempah-rempah sing banjur nyegah."
"Di hari yang cerah ini, saya memesan ikan dan makanan laut yang segar untuk acara pesta pernikahan di minggu depan.","Saiki ing dina sing cahya iki, aku nyicil ikan lan makanan samudra sing segar kanggo acara pesta pengadeganne saiki minggu."
"Ayah saya selalu berusaha keras agar ia dapat memberikan yang terbaik bagi keluarganya, dan saya berharap dia akan selalu bersemangat untuk hal itu.","Babad iku reaktor ora usah nekani sugih rampungi, amargi mung bisa ndeleng sumelang ngluwari keluarga, lan saya matur tegesare babad iku bakal terus-terusan nyadeni pengin kudu tinimbangke."
"Aku mengagumi keayuan alam Indonesia yang luasnya menakjubkan, sedangkan di Jawa, aku menikmati keunikan budayanya yang kaya akan warna.","Aku ngagumake tonton wonten alam nusantara kang gedhe-gedhe ana awehenan, sakten saka Jawa, aku ngiroke tattok unik budayenipun kang rikih saka warna."
"Keliling kastil di tengah kota, tampaknya telah menjadi tradisi bagi warga untuk mengunjungi tempat tersebut setiap hari Sabtu sore.","Nganjem-nganjemi kraton ing tengah kutha, tiba-tiba mesthi tradisi kanggo warga kanggo mriksa tempat kuwe saben sasi jum'at srenggon."
"Di kota ini, ada banyak tempat yang indah untuk dikunjungi, baik di daratan maupun di tepi laut.","Ing kuto iki, ana banyuwe lungsing kang apik kanggo ditaningi, sakedhok ing dolom lan ing puri laut."
"Penggunaan berbagai bahasa di Indonesia terutama bahasa Jawa yang masih dihayati oleh banyak orang di Indonesia, menghasilkan keanekaragaman budaya yang luar biasa.","Panggunaan basa-basa ing Indonesia khususé basa Jawa sing masih dirasakaké déning wong-wong ing Indonesia, nggawé kautapan budaya sing arep."
"Di kaki gunung, pendaki yang berani menantang garis alaminya memperlihatkan keberanian mereka dengan berbagai cara;","Ing klawon gunung, panganggi sing pinter nandang garis liyanenya ndhukung kesah sipat gerak-geriké kanthi macem-macem cara."
"Penyebab utama dari politik ramah sosial di negara ini adalah tekad para pemimpin untuk merumuskan berbagai solusi dan menciptakan kondisi yang kaya, adil, dan berkeadilan bagi semua orang.","Prinsip utama saka politik ramah sosial ing negara iki pisan kuwi koréksi para pinarbit lan ngawitang solusi sing apik lan nggawé kondisi sing kaya, duwé sarat lan gawé wates keadilan kanggo kabèh wong."
"""Mereka biasanya keluar setiap pagi untuk menikmati matahari terbit nan indah, bereksplorasi ke alam sekitar, dan bersikap saling menghormati di antara satu sama lain.""","""Kabèh bakal nganggo saben dinten kanggo nikmati warna warni kesengsem polah srengenge, entuk maca rawa gunung lan wadon ngerti awak satemene bareng."""
"Dialah yang membawa saya kepada tujuan yang tepat, dan tanpa dia, saya tidak tahu bagaimana saya akan dapat sampai di sana.",Panjenengan iku sing nggawe aku bisa njepati tujuan karo samangsa aku bisa ora paham manawa aku bisa kedade.
"Dia selalu datang lebih awal dari janji-janjinya, namun dia masih tetap tersenyum dan tanggap saat dia tiba.","Dia iseh ngetok salaku wiwit saka wangsulane, nanging dhewe iseh nggedheg sajroning senadyan amarga usame."
"Aku harus bekerja keras untuk mencapai impianku, tetapi aku juga harus ingat bahwa untuk berhasil dalam hidup adalah untuk selalu berdiri di atas perjuangan.","Aku kudu nggawe kerjo keras kanggo gaprangi impikan aku, nanging aku uga kudu mangsani yen kanggo bisa sukses ing jaman iki tuwuh nanding watesan alas nggawe ngenteni."
"Kami semua harus bekerja sama dengan bersatu padu, sehingga kita dapat mencapai tujuan bersama yang diinginkan.","Kita kabèh kudu nindakaké wong sakuyub ring saben, supaya bisa nganti wêwahé tujuan sing kita pengen."
"Dia berkeliling menunjukkan keajaiban alam yang menakjubkan, berbagi keceriaan dan berbagi kegembiraan di antara orang yang dikunjungi.","Nggawé rondéwé weruhaké keajaiban alam kang akeh nakjub, dadia ngobrolin kecendhangan lan akeh kaluhuran wonten ing wong-wong sing ngunjungin."
"Saya sangat senang bersepeda ke tepian sungai pagi hari, karena udara segar dan pemandangannya yang indah.","Aku seneng banget njoget nang leran tangis pengarepan, jalaran asuwar luwar lan panggungingan kiye bener enak."
"Dia tampak begitu bahagia sambil menari di tengah angin musim semi, menyebarkan cinta dan kebahagiaan di sekelilingnya.","Dheweké mubeng maca kriminal sing gampang bebarengan karo awak-awak kang padha rembulan ing sawise musim semi, nyebarke cinta lan kataman disekitar."
"Pemerintah memutuskan untuk memulai pembangunan jalan baru di daerah tersebut, dengan harapan bisa meningkatkan kondisi sosial ekonomi warga setempat.","Pemerintah Nekaraé Botyak mencètak ngrampungaké pangembangane jalur anyar ing kotane, kanthi wangkè diharapaké inggih bisa nglurangi kondhisi sosial-ekonomi warga-warga sing ana ing kene."
"Hutan hujan tropis menyediakan berbagai makanan yang kaya, tempat yang menakjubkan untuk berburu, dan habitat bagi berbagai macam makhluk hidup yang beragam.","Banjur udan tropis nyediakake macem-macem makanan kaya, tempat sing keren supaya manggon berburu, lan lingkungan supaya bisa mboko macem-macem jinis makhluk tetandan."
"Dia adalah seorang mahasiswa yang sangat sukses, yang selalu berusaha untuk meningkatkan ilmu dan keterampilan-nya dengan kerja keras.","Panjenengan iku siswa sing becik, sing asa kekarepan ningkatake panggonan ilmu lan kawruh-e kanthi kerja kuwa-kawa."
"Dia mengambil waktu untuk berpikir tentang pilihannya sebelum membuat keputusan, karena keputusan yang dia ambil akan sangat berpengaruh pada masa depan yang cerah.","Dadya nambahi sapa kanggo ngrungokna miturut kasil sing dipilih kanggo dadi pandumen, amarga pandumen sing dadi bakal mbusak njero tuwa ing nduweni masa depan."
"Dia bersiap-siap untuk berangkat ke sekolah pada hari Senin pagi, dengan harapan agar hari itu dapat menjadi hari yangProduktif.","Ia nggawe persiapan kepung sekolah wonten ing dina Senin pagi, sugih-sugih kersa dina iku bisa digawe dadi dina sing produktif."
"Di zaman modern ini, teknologi berperan penting dalam mempermudah kehidupan kita,","In zaman modern iki, teknologi punika sanget penting pancen gawe urip kita mbiyen dadi luwih gampang."
"Dia memasak daging dengan bumbu pedas; di Jawa, mereka menyebutnya sambel daging.","Dia nyawiji daging kalawan bumbu piquant; ing Jawa, k fem chlth sambel daging."
"Dia adalah seorang murid yang serius dan berprestasi, yang rajin belajar dan memiliki kemauan belajar yang kuat.","Mbiyen saha sawijining murid kurang rajin, saiki nggawa becik ngangkatu serta mbiyen kesabaran tinjau bae kudu nggawe tingkat prestasi epata."
"Dia telah bekerja keras, memotivasi diri dan membuat prioritas untuk mencapai tujuannya, dan dia telah berhasil melakukannya dengan baik.","Wicaksana ngrembak kerja dhewe, nithik motivasi sejatine lan nggawe prioritas kanggo ngirim tujuan iku, lan wicaksana sedaya bisa nguntungake karo apik."
"Aku berjalan melewati hutan, menapaki jalur yang telah diterangi oleh waktu terbang, sementara udara dingin menyentuh wajahku.","Aku nggawe nyalindhung sawijining dalan di ngisor sawah-sawah, sendhing sasi tansah nutupi segoro kanggo ningsun tamu sak angenku, sawise tenangan kang asring rada rresik."
"Dia pergi ke pasar untuk membeli beberapa macam bahan makanan, namun di sana ia tidak menemukan apa yang diinginkannya.","Dia kabèh lunga kanggo mbeli bebener macem macem bahan makanan, nanging ing pandhuan adipati ora naos bisa nyebut apa waé sing werehé."
